William M. Miller, zy37MHwAAAAJ
Jennifer B. Dunn, figdLjMAAAAJ
Ange Therese Akono, q6wkhfUAAAAJ
Scott Barnett, 3VGvLrEAAAAJ
Michael J. Bedzyk, Fpx5zDgAAAAJ
Randall Berry, iWq6Tn4AAAAJ
Neal Blair, 9-0QURcAAAAJ
Giuseppe Buscarnera, wx78ao8AAAAJ
Jian Cao, JRk61c0AAAAJ
Stephen H. Carr, 7NdAEucAAAAJ
Wei Chen, mBbNY64AAAAJ
Yip-Wah Chung, Eej-IQQAAAAJ
Gianluca Cusatis, sGuDDmIAAAAJ
Peter Dinda, 9m3beGEAAAAJ
David Dunand, KfDdVlkAAAAJ
Kornel Ehmann, hXqswK4AAAAJ
Omar Farha, ZeZxAncAAAAJ
Sandip Ghosal, Z2x5KF4AAAAJ
Kimberly A. Gray, T4n-nAQAAAAJ
M Grayson, odKsnPEAAAAJ
Ping Guo, u3cE3tQAAAAJ
James Hambleton, DTu7ll8AAAAJ
Mark Hersam, PSBBkUoAAAAJ
Josiah Hester, EMYV8cEAAAAJ
Jiaxing Huang, sbfLJqUAAAAJ
Michael C. Jewett, 6JA5DDYAAAAJ
Sridhar Krishnaswamy, QNp27o0AAAAJ
Simge Kucukyavuz, G252Zx0AAAAJ
Harold H Kung, UyHydNcAAAAJ
Wing Kam Liu, lzQvgDoAAAAJ
Julius B. Lucks, fGKHeKsAAAAJ
Richard Lueptow, EWs8DRgAAAAJ
Hani Mahmassani, yLAM0LsAAAAJ
Niall M Mangan, -n5xWjMAAAAJ
Adilson E. Motter, F5TciCcAAAAJ
Yu Marco Nie, WNXai7cAAAAJ
Justin Notestein, kAZ-D44AAAAJ
Aaron Packman, cjHE4fEAAAAJ
Mar Reguant, glc6COYAAAAJ
Dr. Jeffrey J. Richards, pfAdrBcAAAAJ
Alessandro F. ROTTA LORIA, NR1Dv-MAAAAJ
Joseph L. Schofer, VTddbcsAAAAJ
Linsey C. Seitz, DcDOCEwAAAAJ
Karen Smilowitz, q8TWVIEAAAAJ
Randall Snurr, BRslTkEAAAAJ
G. Jeffrey Snyder, EJDZSYMAAAAJ
Amanda Stathopoulos, 13thv-oAAAAJ
John M. Torkelson, xpGFF3kAAAAJ
Danielle Tullman-Ercek, dN9sKEsAAAAJ
Peter Voorhees, qOwlVBoAAAAJ
Andreas Waechter, Y1EdzIwAAAAJ
